"사용월","호선명","지하철역","04시-05시 승차인원","04시-05시 하차인원","05시-06시 승차인원","05시-06시 하차인원","06시-07시 승차인원","06시-07시 하차인원","07시-08시 승차인원","07시-08시 하차인원","08시-09시 승차인원","08시-09시 하차인원","09시-10시 승차인원","09시-10시 하차인원","10시-11시 승차인원","10시-11시 하차인원","11시-12시 승차인원","11시-12시 하차인원","12시-13시 승차인원","12시-13시 하차인원","13시-14시 승차인원","13시-14시 하차인원","14시-15시 승차인원","14시-15시 하차인원","15시-16시 승차인원","15시-16시 하차인원","16시-17시 승차인원","16시-17시 하차인원","17시-18시 승차인원","17시-18시 하차인원","18시-19시 승차인원","18시-19시 하차인원","19시-20시 승차인원","19시-20시 하차인원","20시-21시 승차인원","20시-21시 하차인원","21시-22시 승차인원","21시-22시 하차인원","22시-23시 승차인원","22시-23시 하차인원","23시-24시 승차인원","23시-24시 하차인원","00시-01시 승차인원","00시-01시 하차인원","01시-02시 승차인원","01시-02시 하차인원","02시-03시 승차인원","02시-03시 하차인원","03시-04시 승차인원","03시-04시 하차인원","작업일자"
"202210","1호선","서울역","707","34","9180","9659","13511","55432","40840","105943","71256","205484","61307","151763","62514","84310","77285","72422","84928","83084","85858","82661","73001","74496","96526","81463","111175","83613","163238","96434","205513","97618","115319","67072","82912","48011","85422","42691","56471","30503","26783","14843","2421","2533","2","172","0","0","0","0","20221103"
"202210","1호선","청량리(서울시립대입구)","1140","22","11658","4314","15271","23232","35969","18706","46390","36162","31180","35799","30495","38504","35576","42083","40807","42462","43347","46475","44436","47179","49603","46084","58421","42109","53071","42581","42612","47635","23114","31406","17789","19383","13787","18317","8706","16070","3302","9629","174","3479","0","1","0","2","0","0","20221103"
"202210","2호선","강변(동서울터미널)","33","0","9119","2689","26718","27666","74289","29335","112784","47823","83758","43383","69108","40030","60281","37727","58755","43689","54615","47379","49070","53451","52046","61839","55334","69030","60051","84173","65139","110057","49496","79156","43201","53998","34968","46458","23147","43104","9249","23369","844","5092","0","138","0","0","0","0","20221103"
"202210","2호선","서울대입구(관악구청)","4154","24","28251","2891","41956","15163","121278","29429","172538","66264","117830","64859","71796","56166","63817","47430","70315","53784","74832","59390","66849","58509","70399","66902","77076","79891","87858","107468","91184","167592","56022","141273","46785","87239","47218","82152","42904","82341","22005","49593","3028","19270","0","3333","0","0","0","0","20221103"
"202210","3호선","경복궁(정부서울청사)","87","0","2558","1703","5735","13258","13576","39407","19760","126638","20780","106034","19969","78866","26442","74610","36313","64395","46181","63962","58769","55435","75714","46283","85266","41465","99726","42340","114836","44579","52732","27373","50708","13209","48213","10867","29367","10110","10921","5797","1150","1472","1","34","0","1","0","0","20221103"
"202210","4호선","미아(서울사이버대학)","77","7","11975","2067","20831","6109","45445","17400","50452","33067","34745","20708","26251","16109","24272","19643","26371","17021","24836","18786","23915","21300","24370","25370","27805","29432","28056","34800","28410","46543","16596","38147","11143","24271","9671","22018","7314","19181","2529","12772","302","2781","0","1","0","0","0","0","20221103"
"202210","4호선","서울역","224","2","4607","1183","6827","20273","12366","37905","14947","79019","14423","51965","12504","29419","14145","27131","15486","32145","14681","32406","15128","30407","17601","33896","22337","36871","44260","41636","58761","41503","24549","32030","16346","23964","14218","21763","10709","17592","5118","9405","523","2458","2","248","0","0","0","0","20221103"
"202210","6호선","봉화산(서울의료원)","10","0","5222","971","14922","2500","46816","6152","39035","13118","20483","7617","15461","6496","12893","6629","13041","8464","11814","9932","10296","10225","9836","12652","10879","15212","12119","21017","10906","31094","5976","29029","3989","17047","3539","14360","2689","14298","1104","8825","148","2966","0","162","0","0","0","0","20221103"
"202210","6호선","화랑대(서울여대입구)","14","0","6582","956","20325","3170","58286","7690","54938","18523","27471","14007","19519","9167","18065","9947","17811","9067","19067","10854","16145","10436","16581","13243","20089","15706","19998","22292","16236","34638","8641","31543","5626","18399","4937","17253","3604","15350","1389","10794","147","3392","0","15","0","0","0","0","20221103"
"202210","7호선","공릉(서울과학기술대)","18","0","6340","919","14275","4238","36309","11417","40982","25198","24291","18880","18663","13858","18416","12224","19163","15268","18785","16764","18110","15720","18941","18435","23826","22272","23154","28007","23984","39807","13409","34962","10553","20376","10431","18466","8816","17343","4441","11604","756","3627","0","0","0","0","0","0","20221103"
